# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Nov 14 10:26:02 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
9.8116e-05 -2.19174 10.11394 0.1000000015 1.1711064122    0.100 -2.779  3.5589  5.405    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-16      0.00 7.448e-01 2.551e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 11.718 15.907 13.640 12.089 11.448 11.152 11.054
9.8116e-05 -2.19174 10.11394 0.1098214313 1.2482754908    0.109 -2.631  3.5742  5.356    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-16      0.00 7.429e-01 2.570e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 11.346 15.172 13.058 11.628 11.084 10.811 10.718
9.8116e-05 -2.19174 10.11394 0.1294642836 1.3786745408    0.129 -2.388  3.5967  5.276    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-16      0.00 7.397e-01 2.602e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.740 14.047 12.176 10.938 10.481 10.242 10.158
9.8116e-05 -2.19174 10.11394 0.1491071582 1.4855959672    0.149 -2.224  3.6080  5.219    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-16      0.00 7.377e-01 2.622e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.331 13.399 11.642 10.495 10.070 9.847 9.769
9.8116e-05 -2.19174 10.11394 0.1687500030 1.5756139920    0.168 -2.098  3.6153  5.174    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.34e-16      0.00 7.369e-01 2.630e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.014 12.937 11.251 10.158 9.752 9.540 9.466
9.8116e-05 -2.19174 10.11394 0.2080357224 1.7204495903    0.207 -1.894  3.6262  5.106    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.86e-16      0.00 7.366e-01 2.633e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.506 12.222 10.636 9.620 9.241 9.044 8.976
9.8116e-05 -2.19174 10.11394 0.2571428716 1.8581268277    0.257 -1.707  3.6363  5.051    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-15      0.00 7.369e-01 2.630e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 9.038 11.573 10.076 9.125 8.769 8.587 8.524
9.8116e-05 -2.19174 10.11394 0.3062500358 1.9652636675    0.306 -1.562  3.6447  5.016    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-15      0.00 7.368e-01 2.631e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.675 11.069 9.642 8.740 8.404 8.233 8.176
9.8116e-05 -2.19174 10.11394 0.3553571403 2.0521113302    0.355 -1.440  3.6526  4.990    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-15      0.00 7.378e-01 2.621e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.000e-04 8.369 10.635 9.273 8.414 8.095 7.935 7.882
9.8116e-05 -2.19174 10.11394 0.4044643044 2.1246090444    0.404 -1.317  3.6611  4.958    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-15      0.00 7.500e-01 2.499e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 8.062 10.195 8.903 8.089 7.787 7.638 7.590
9.8116e-05 -2.19174 10.11394 0.4535714388 2.1864813481    0.453 -1.169  3.6745  4.913    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.42e-15      0.00 7.507e-01 2.492e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 7.693 9.619 8.441 7.695 7.420 7.289 7.247
9.8116e-05 -2.19174 10.11394 0.5026785731 2.2401984691    0.503 -1.003  3.6893  4.852    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.6e-15      0.00 7.528e-01 2.471e-01 1.785e-05 4.815e-06 4.368e-05 -1.000 9.999e-05 7.278 8.993 7.935 7.258 7.012 6.899 6.866
9.8116e-05 -2.19174 10.11394 0.5517857671 2.2851312492    0.551 -0.798  3.7090  4.765    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-14      0.00 7.879e-01 2.120e-01 1.547e-05 4.177e-06 3.790e-05 -1.000 9.759e-05 6.764 8.226 7.317 6.726 6.517 6.428 6.404
